Año,Meses,Departamento,Provincia,Distrito,Conglomerado,Estratos,Geografico,Visitas,TEM,TNR_Historica_Cong,TNR_Historica_Distrito,TNR_Historica_Departamento,N_HOGAR,TotalPersHogar,TotalMuj12_49,TotalMen_12,TotalMen_6,TotalMen_5,TotalMen_3,DuracionPromedio,TNR,TNR_ALTA,Altitud,Latitud,Longitud
2022,abr,Apurímac,Andahuaylas,San Jeronimo,144,Rural,Sierra Sur,1.2,6.66666666666667,6.81318681318681,6.81318681318681,6.81318681318681,15,59,16.0,19.0,10.0,9.0,5.0,19.4,0.0,0,3515.313333333333,-13.654066888888888,-73.29643166666668
2022,abr,Apurímac,Antabamba,Huaquirca,163,Rural,Sierra Sur,1.53,0.0,6.83760683760684,6.83760683760684,6.83760683760684,15,56,17.0,14.0,9.0,9.0,5.0,19.1,6.66666666666667,1,3534.4000000000005,-14.338338333333336,-72.89365822222223
2022,abr,Apurímac,Cotabambas,Haquira,3310,Rural,Sierra Sur,1.67,13.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,15,31,8.0,5.0,5.0,5.0,4.0,21.3,7.69230769230769,1,3943.8400000000006,-14.287263444444443,-72.27122544444443
2022,abr,Arequipa,Arequipa,Alto Selva Alegre,180,Medio,Sierra Sur,1.2,0.0,6.07638032421853,6.07638032421853,6.07638032421853,10,42,13.0,14.0,10.0,9.0,6.0,19.4,0.0,0,2511.1,-16.369478833333336,-71.52097816666665
2022,abr,Arequipa,Arequipa,Arequipa,3315,Alto,Sierra Sur,2.2,0.0,0.0,0.0,0.0,10,37,12.0,10.0,6.0,5.0,2.0,13.2,10.0,1,2382.0,-16.410051,-71.51952516666667
2022,abr,Arequipa,Arequipa,Jacobo Hunter,204,Medio Bajo,Sierra Sur,2.1,0.0,3.33333333333333,3.33333333333333,3.33333333333333,10,34,10.0,9.0,5.0,5.0,3.0,18.9,20.0,1,2288.9200000000005,-16.45067666666667,-71.55489533333335
2022,abr,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,3321,Medio Alto,Sierra Sur,1.9,0.0,7.5,7.5,7.5,10,40,11.0,12.0,8.0,8.0,2.0,17.0,10.0,1,2368.96,-16.434126666666668,-71.51792900000001
2022,abr,Arequipa,Arequipa,Paucarpata,192,Bajo,Sierra Sur,1.0,0.0,6.66666666666667,6.66666666666667,6.66666666666667,10,44,14.0,12.0,7.0,7.0,3.0,18.4,0.0,0,2630.45,-16.420948000000003,-71.47685
2022,abr,Arequipa,Arequipa,Paucarpata,194,Bajo,Sierra Sur,1.4,10.0,0.0,0.0,5.71428571428571,10,36,12.0,10.0,7.0,7.0,4.0,18.2,0.0,0,2753.15,-16.42017166666667,-71.46756983333333
2022,abr,Arequipa,Arequipa,Socabaya,202,Bajo,Sierra Sur,1.6,10.0,5.0,5.0,5.0,10,35,9.0,12.0,7.0,7.0,3.0,14.1,0.0,0,2393.29,-16.482967333333335,-71.50654666666667
